2024-03-19 18:32:18,10,1100,0.83,0.859
2024-03-19 18:32:18,20,2100,0.844,0.87
2024-03-19 18:32:20,30,3100,0.849,0.879
2024-03-19 18:32:22,40,4100,0.851,0.89
2024-03-19 18:32:23,50,5100,0.861,0.896
2024-03-19 18:32:24,60,6100,0.862,0.903
2024-03-19 18:32:27,70,7100,0.868,0.908
2024-03-19 18:32:29,80,8100,0.865,0.912
2024-03-19 18:32:32,90,9100,0.885,0.916
2024-03-19 18:32:34,100,10100,0.877,0.919
2024-03-19 18:32:36,110,11100,0.879,0.922
2024-03-19 18:32:39,120,12100,0.881,0.924
2024-03-19 18:32:41,130,13100,0.885,0.927
2024-03-19 18:32:44,140,14100,0.884,0.929
2024-03-19 18:32:46,150,15100,0.891,0.931
2024-03-19 18:32:49,160,16100,0.89,0.932
2024-03-19 18:32:51,170,17100,0.895,0.934
2024-03-19 18:32:54,180,18100,0.899,0.935
2024-03-19 18:32:56,190,19100,0.898,0.936
2024-03-19 18:32:59,200,20100,0.897,0.937
2024-03-19 18:33:01,210,21100,0.89,0.938
2024-03-19 18:33:03,220,22100,0.893,0.938
2024-03-19 18:33:06,230,23100,0.892,0.939
2024-03-19 18:33:08,240,24100,0.893,0.94
2024-03-19 18:33:11,250,25100,0.898,0.94
2024-03-19 18:33:13,260,26100,0.894,0.941
2024-03-19 18:33:15,270,27100,0.894,0.942
2024-03-19 18:33:18,280,28100,0.895,0.942
2024-03-19 18:33:20,290,29100,0.893,0.943
2024-03-19 18:33:23,300,30100,0.903,0.943
2024-03-19 18:33:25,310,31100,0.895,0.944
2024-03-19 18:33:27,320,32100,0.897,0.944
2024-03-19 18:33:30,330,33100,0.9,0.945
2024-03-19 18:33:32,340,34100,0.904,0.945
2024-03-19 18:33:34,350,35100,0.905,0.946
2024-03-19 18:33:36,360,36100,0.902,0.946
2024-03-19 18:33:38,370,37100,0.899,0.947
2024-03-19 18:33:41,380,38100,0.902,0.947
2024-03-19 18:33:43,390,39100,0.897,0.947
2024-03-19 18:33:46,400,40100,0.894,0.948
2024-03-19 18:33:48,410,41100,0.898,0.948
2024-03-19 18:33:50,420,42100,0.896,0.948
2024-03-19 18:33:53,430,43100,0.896,0.949
2024-03-19 18:33:55,440,44100,0.903,0.949
2024-03-19 18:33:58,450,45100,0.897,0.949
2024-03-19 18:34:00,460,46100,0.9,0.949
2024-03-19 18:34:03,470,47100,0.893,0.95
2024-03-19 18:34:05,480,48100,0.903,0.95
2024-03-19 18:34:07,490,49100,0.894,0.95
2024-03-19 18:34:10,500,50100,0.896,0.95
2024-03-19 18:34:12,510,51100,0.897,0.95
2024-03-19 18:34:15,520,52100,0.905,0.951
2024-03-19 18:34:18,530,53100,0.894,0.951
2024-03-19 18:34:20,540,54100,0.893,0.951
2024-03-19 18:34:23,550,55100,0.895,0.951
2024-03-19 18:34:25,560,56100,0.898,0.951
2024-03-19 18:34:28,570,57100,0.895,0.951
2024-03-19 18:34:31,580,58100,0.902,0.952
2024-03-19 18:34:34,590,59100,0.894,0.952
2024-03-19 18:34:36,600,60100,0.899,0.952
2024-03-19 18:34:39,610,61100,0.906,0.952
2024-03-19 18:34:41,620,62100,0.902,0.952
2024-03-19 18:34:44,630,63100,0.896,0.952
2024-03-19 18:34:47,640,64100,0.91,0.952
2024-03-19 18:34:50,650,65100,0.903,0.952
2024-03-19 18:34:53,660,66100,0.9,0.952
2024-03-19 18:34:56,670,67100,0.901,0.952
2024-03-19 18:34:58,680,68100,0.898,0.953
2024-03-19 18:35:01,690,69100,0.904,0.953
2024-03-19 18:35:04,700,70100,0.898,0.953
2024-03-19 18:35:06,710,71100,0.91,0.953
2024-03-19 18:35:09,720,72100,0.915,0.953
2024-03-19 18:35:11,730,73100,0.89,0.953
2024-03-19 18:35:14,740,74100,0.904,0.953
2024-03-19 18:35:16,750,75100,0.908,0.953
2024-03-19 18:35:19,760,76100,0.895,0.953
2024-03-19 18:35:21,770,77100,0.894,0.953
2024-03-19 18:35:24,780,78100,0.889,0.953
2024-03-19 18:35:26,790,79100,0.904,0.954
2024-03-19 18:35:28,800,80100,0.899,0.954
2024-03-19 18:35:31,810,81100,0.897,0.954
2024-03-19 18:35:33,820,82100,0.903,0.954
2024-03-19 18:35:36,830,83100,0.893,0.954
2024-03-19 18:35:38,840,84100,0.898,0.954
2024-03-19 18:35:41,850,85100,0.903,0.954
2024-03-19 18:35:43,860,86100,0.898,0.954
2024-03-19 18:35:46,870,87100,0.898,0.954
2024-03-19 18:35:48,880,88100,0.899,0.954
2024-03-19 18:35:50,890,89100,0.898,0.954
2024-03-19 18:35:53,900,90100,0.901,0.954
2024-03-19 18:35:55,910,91100,0.902,0.954
2024-03-19 18:35:58,920,92100,0.901,0.954
2024-03-19 18:36:00,930,93100,0.907,0.954
2024-03-19 18:36:03,940,94100,0.908,0.954
2024-03-19 18:36:05,950,95100,0.906,0.954
2024-03-19 18:36:08,960,96100,0.91,0.954
2024-03-19 18:36:10,970,97100,0.906,0.954
2024-03-19 18:36:13,980,98100,0.904,0.955
2024-03-19 18:36:15,990,99100,0.905,0.955
2024-03-19 18:36:17,1000,100100,0.899,0.955
2024-03-19 18:36:20,1010,101100,0.895,0.955
2024-03-19 18:36:22,1020,102100,0.917,0.955
2024-03-19 18:36:25,1030,103100,0.894,0.955
2024-03-19 18:36:27,1040,104100,0.901,0.955
2024-03-19 18:36:29,1050,105100,0.891,0.955
2024-03-19 18:36:32,1060,106100,0.891,0.955
2024-03-19 18:36:34,1070,107100,0.899,0.955
2024-03-19 18:36:37,1080,108100,0.904,0.955
2024-03-19 18:36:39,1090,109100,0.9,0.955
2024-03-19 18:36:42,1100,110100,0.902,0.955
2024-03-19 18:36:44,1110,111100,0.908,0.955
2024-03-19 18:36:46,1120,112100,0.9,0.955
2024-03-19 18:36:49,1130,113100,0.902,0.955
2024-03-19 18:36:51,1140,114100,0.898,0.955
2024-03-19 18:36:54,1150,115100,0.88,0.955
2024-03-19 18:36:57,1160,116100,0.904,0.955
2024-03-19 18:36:59,1170,117100,0.892,0.955
2024-03-19 18:37:02,1180,118100,0.892,0.955
2024-03-19 18:37:04,1190,119100,0.898,0.955
2024-03-19 18:37:07,1200,120100,0.9,0.955
2024-03-19 18:37:09,1210,121100,0.899,0.956
2024-03-19 18:37:12,1220,122100,0.898,0.956
2024-03-19 18:37:14,1230,123100,0.909,0.956
2024-03-19 18:37:17,1240,124100,0.904,0.956
2024-03-19 18:37:19,1250,125100,0.901,0.956
2024-03-19 18:37:22,1260,126100,0.905,0.956
2024-03-19 18:37:24,1270,127100,0.902,0.956
2024-03-19 18:37:27,1280,128100,0.909,0.956
2024-03-19 18:37:30,1290,129100,0.905,0.956
